,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
179,2023-06-05,2268.3,LT.NS,2023-06-09,2363,2023-08-04,2626.9,40th Day,40,2244.85,10,25000,2639,27639,2023-06-05,25000,24769.5,24914,24920.5,24983,25038,25033.5,25190,25314.5,25532.5,25265.5,25145.5,25250.5,25250.5,26125.5,25910.5,25988.5,26078,26256,25863.5,25757.5,26115.5,25919.5,25871.5,26092.5,26058,26117,26311.5,26267,27232.5,27422.5,26979,27832.5,27972,27865.5,28183.5,28036.5,27591.5,27351,27639
180,2023-06-30,2475.55,LT.NS,2023-07-06,2488.6,2023-08-31,2702.7,40th Day,40,2364.17,10,25000,2141,27141,2023-06-30,25000,24607.5,24501.5,24859.5,24663.5,24615.5,24836.5,24802,24861,25055.5,25011,25976.5,26166.5,25723,26576.5,26716,26609.5,26927.5,26780.5,26335.5,26095,26383,26473,26436,26630,26549,26499,26713,27024.5,26639,26533.5,26736.5,26902,27290,26995.5,26498,27067.5,27303.5,27204,27141
181,2023-05-19,4803,LTIM.NS,2023-05-25,4910.55,2023-07-20,4985.05,40th Day,40,4665.0225,5,25000,372.5,25372.5,2023-05-19,25000,25452.75,25391.75,25403.5,25439.25,25293.75,25418,25163.25,24871.5,24958.5,24473.25,24562.5,24944,25172,24980.75,25303,25500.25,25697,25558,25449.75,25577.5,25230.5,25483.75,26262.5,26262.5,26433.25,26504,26700,26657.75,26338.25,26020,25436,25068.5,24528.25,24913.75,25912.75,26121.5,25453,25399.75,25372.5
182,2023-05-25,4910.55,LTIM.NS,2023-05-31,4998.4,2023-07-26,4860.55,40th Day,40,4748.48,5,25000,-689.25,24310.75,2023-05-25,25000,24854.5,24978.75,24724,24432.25,24519.25,24034,24123.25,24504.75,24732.75,24541.5,24863.75,25061,25257.75,25118.75,25010.5,25138.25,24791.25,25044.5,25823.25,25823.25,25994,26064.75,26260.75,26218.5,25899,25580.75,24996.75,24629.25,24089,24474.5,25473.5,25682.25,25013.75,24960.5,24933.25,24621.75,24403.25,24351.25,24310.75
183,2023-06-16,5010.6,LTIM.NS,2023-06-22,5026.05,2023-08-18,5085.15,40th Day,40,4774.7475,4,25000,236.4,25236.4,2023-06-16,25000,24722.4,24925,25548,25548,25684.6,25741.2,25898,25864.2,25608.6,25354,24886.8,24592.8,24160.6,24469,25268.2,25435.2,24900.4,24857.8,24836,24586.8,24412,24370.4,24338,24345.6,24272,24462.4,24805.6,24359.6,24375.4,24659.4,25084,25226,25312.6,25322,25325.2,25669,25687.4,25286,25236.4
184,2023-01-09,1310.35,M&M.NS,2023-01-13,1328.15,2023-02-27,1261.7425,Stop Loss,31,1261.7425,18,25000,-1195.335,23804.665,2023-01-09,25000,24774.1,24868.6,24892,24845.2,24758.8,25005.4,24923.5,24700.3,24856.9,25062.1,25910.8,25430.2,25436.5,26077.3,25861.3,25693.9,25808.2,25792.9,25671.4,25447.3,25630,25921.6,25720,25240.3,25325.8,25426.6,24848.8,24744.4,24136.9,23804.665,23804.665,23804.665,23804.665,23804.665,23804.665,23804.665,23804.665,23804.665,23804.665
185,2023-01-31,1378.75,M&M.NS,2023-02-06,1376,2023-02-24,1307.2,Stop Loss,15,1307.2,18,25000,-1238.4,23761.6,2023-01-31,25000,24832.6,24946.9,24931.6,24810.1,24586,24768.7,25060.3,24858.7,24379,24464.5,24565.3,23987.5,23883.1,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6,23761.6
186,2023-05-09,1245.45,M&M.NS,2023-05-15,1285.65,2023-07-10,1551.4,40th Day,40,1221.3675,19,25000,5049.25,30049.25,2023-05-09,25000,24559.2,24571.55,24237.15,24520.25,24618.1,24675.1,24810.95,24850.85,24927.8,25845.5,25813.2,25633.65,25631.75,26059.25,27085.25,27385.45,27294.25,26812.6,26615,26819.25,26662.5,26767,27034.9,27245.8,27221.1,27105.2,26683.4,26767.95,26664.4,27128,27218.25,27218.25,28191.05,28463.7,28397.2,28604.3,29999.85,30291.5,30049.25
187,2023-05-29,1330.15,M&M.NS,2023-06-02,1341.4,2023-07-28,1467.8,40th Day,40,1274.33,18,25000,2275.2,27275.2,2023-05-29,25000,25972,26256.4,26170,25713.7,25526.5,25720,25571.5,25670.5,25924.3,26124.1,26100.7,25990.9,25591.3,25671.4,25573.3,26012.5,26098,26098,27019.6,27277.9,27214.9,27411.1,28733.2,29009.5,28780,29104.9,29130.1,29059,28692.7,28508.2,28479.4,28654.9,28671.1,28277.8,28698.1,29038.3,28662.1,26908,27275.2
188,2023-06-05,1395.4,M&M.NS,2023-06-09,1370.65,2023-08-04,1464.65,40th Day,40,1302.1175,18,25000,1692,26692,2023-06-05,25000,25193.5,25045,25144,25397.8,25597.6,25574.2,25464.4,25064.8,25144.9,25046.8,25486,25571.5,25571.5,26493.1,26751.4,26688.4,26884.6,28206.7,28483,28253.5,28578.4,28603.6,28532.5,28166.2,27981.7,27952.9,28128.4,28144.6,27751.3,28171.6,28511.8,28135.6,26381.5,26748.7,26881.9,27208.6,27063.7,26773,26692
189,2023-06-30,1453.6,M&M.NS,2023-07-06,1548.8,2023-07-27,1471.36,Stop Loss,16,1471.36,16,25000,-1239.04,23760.96,2023-06-30,25000,25245.6,25041.6,25330.4,25352.8,25289.6,24964,24800,24774.4,24930.4,24944.8,24595.2,24968.8,25271.2,24936.8,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96,23760.96
190,2023-07-06,1548.8,M&M.NS,2023-07-12,1570.85,2023-07-27,1492.3075,Stop Loss,12,1492.3075,15,25000,-1178.1375,23821.8625,2023-07-06,25000,24940.75,24635.5,24481.75,24457.75,24604,24617.5,24289.75,24640,24923.5,24610,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625,23821.8625
191,2023-05-08,530.7,MARICO.NS,2023-05-12,541.5,2023-07-07,517.05,40th Day,40,514.425,46,25000,-1124.7,23875.3,2023-05-08,25000,24788.4,24753.9,24326.1,24599.8,24275.5,24482.5,24330.7,24512.4,24397.4,25119.6,25121.9,25004.6,25071.3,25680.8,25365.7,25259.9,25057.5,25381.8,25181.7,24618.2,24839,24806.8,24903.4,25179.4,25305.9,24698.7,24751.6,24339.9,24206.5,24402,24411.2,24418.1,24418.1,24514.7,24620.5,24307.7,24864.3,24365.2,23875.3
