,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount
246,2023-03-31,26186.95,SHREECEM.NS,2023-04-10,26000.75,2023-04-20,24700.712499999998,Stop Loss,8.0,24700.712499999998,0.0,25000,-0.0,25000.0
247,2023-04-06,1303.85,SHRIRAMFIN.NS,2023-04-13,1296.6,2023-06-09,1417.2,40th Day,40.0,1231.7699999999998,19.0,25000,2291.4000000000024,27291.4
248,2023-02-07,3118.05,SIEMENS.NS,2023-02-13,3129.4,2023-04-13,3326.5,40th Day,40.0,2972.93,7.0,25000,1379.6999999999994,26379.7
249,2023-03-08,3287.45,SIEMENS.NS,2023-03-14,3252.9,2023-05-15,3833.4,40th Day,40.0,3090.255,7.0,25000,4063.5,29063.5
250,2023-04-26,3447.65,SIEMENS.NS,2023-05-03,3540.9,2023-06-27,3706.2,40th Day,40.0,3363.855,7.0,25000,1157.099999999998,26157.1
251,2023-06-07,3653.9,SIEMENS.NS,2023-06-13,3734.4,2023-08-08,3779.35,40th Day,40.0,3547.68,6.0,25000,269.6999999999989,25269.699999999997
253,2023-04-21,2477.0,SRF.NS,2023-04-27,2495.5,2023-06-12,2370.725,Stop Loss,32.0,2370.725,10.0,25000,-1247.750000000001,23752.25
254,2023-04-28,2540.25,SRF.NS,2023-05-05,2529.7,2023-06-12,2403.2149999999997,Stop Loss,27.0,2403.2149999999997,9.0,25000,-1138.3650000000011,23861.635
256,2023-04-06,1012.1,SUNPHARMA.NS,2023-04-13,1003.5,2023-05-15,953.3249999999999,Stop Loss,21.0,953.3249999999999,24.0,25000,-1204.2000000000016,23795.8
257,2023-05-26,969.9,SUNPHARMA.NS,2023-06-01,987.7,2023-07-27,1134.95,40th Day,40.0,938.315,25.0,25000,3681.25,28681.25
258,2023-06-28,1021.8,SUNPHARMA.NS,2023-07-05,1044.7,2023-08-30,1114.9,40th Day,40.0,992.465,23.0,25000,1614.600000000001,26614.600000000002
261,2023-04-24,732.55,TATACONSUM.NS,2023-04-28,763.85,2023-06-23,840.85,40th Day,40.0,725.6575,32.0,25000,2464.0,27464.0
262,2023-05-26,789.7,TATACONSUM.NS,2023-06-01,793.65,2023-07-27,850.05,40th Day,40.0,753.9675,31.0,25000,1748.3999999999992,26748.399999999998
263,2023-06-14,862.5,TATACONSUM.NS,2023-06-20,858.9,2023-08-16,840.7,40th Day,40.0,815.9549999999999,29.0,25000,-527.799999999998,24472.2
264,2023-01-10,412.9,TATAMOTORS.NS,2023-01-16,413.0,2023-03-14,416.65,40th Day,40.0,392.34999999999997,60.0,25000,218.99999999999864,25219.0
265,2023-01-24,422.15,TATAMOTORS.NS,2023-01-31,452.1,2023-02-22,429.495,Stop Loss,17.0,429.495,55.0,25000,-1243.275000000001,23756.725
266,2023-04-06,437.65,TATAMOTORS.NS,2023-04-13,469.5,2023-06-09,562.3,40th Day,40.0,446.025,53.0,25000,4918.399999999998,29918.399999999998
267,2023-05-08,500.5,TATAMOTORS.NS,2023-05-12,515.95,2023-07-07,618.2,40th Day,40.0,490.15250000000003,48.0,25000,4908.0,29908.0
268,2023-06-01,535.2,TATAMOTORS.NS,2023-06-07,567.95,2023-08-02,622.65,40th Day,40.0,539.5525,44.0,25000,2406.799999999997,27406.799999999996
269,2023-06-28,586.65,TATAMOTORS.NS,2023-07-05,588.25,2023-08-30,605.55,40th Day,40.0,558.8375,42.0,25000,726.5999999999981,25726.6
270,2023-06-08,220.65,TATAPOWER.NS,2023-06-14,224.15,2023-08-09,234.9,40th Day,40.0,212.9425,111.0,25000,1193.25,26193.25
