Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-03-02,HCLTECH.NS,1117.0,1090.3,1090.3,1105.95,1103.85,1125.6999999999998,1072.9999999999998,1156.55,1051.1499999999999,False
2023-03-03,HCLTECH.NS,1129.7,1111.05,1115.0,1119.0,1103.85,1125.6999999999998,1072.9999999999998,1156.55,1051.1499999999999,False
2023-03-06,HCLTECH.NS,1148.0,1123.3,1129.0,1126.7,1105.6000000000001,1143.1000000000004,1081.5000000000002,1167.2000000000003,1044.0,False
2023-03-08,HCLTECH.NS,1124.0,1107.3,1112.0,1120.65,1105.6000000000001,1143.1000000000004,1081.5000000000002,1167.2000000000003,1044.0,False
2023-03-09,HCLTECH.NS,1126.7,1114.05,1121.95,1116.65,1105.6000000000001,1143.1000000000004,1081.5000000000002,1167.2000000000003,1044.0,False
2023-03-10,HCLTECH.NS,1118.15,1105.0,1105.0,1116.3,1105.6000000000001,1143.1000000000004,1081.5000000000002,1167.2000000000003,1044.0,False
2023-03-13,HCLTECH.NS,1133.6,1095.0,1120.95,1098.6,1123.1000000000001,1141.2000000000003,1098.2000000000003,1166.1000000000001,1080.1000000000001,False
2023-03-14,HCLTECH.NS,1103.4,1066.0,1098.55,1084.05,1123.1000000000001,1141.2000000000003,1098.2000000000003,1166.1000000000001,1080.1000000000001,False
2023-03-15,HCLTECH.NS,1097.9,1075.5,1095.05,1079.65,1123.1000000000001,1141.2000000000003,1098.2000000000003,1166.1000000000001,1080.1000000000001,False
2023-03-16,HCLTECH.NS,1087.55,1069.65,1083.95,1072.4,1123.1000000000001,1141.2000000000003,1098.2000000000003,1166.1000000000001,1080.1000000000001,False
2023-03-17,HCLTECH.NS,1117.1,1084.05,1088.2,1108.45,1123.1000000000001,1141.2000000000003,1098.2000000000003,1166.1000000000001,1080.1000000000001,False
2023-03-20,HCLTECH.NS,1108.3,1086.25,1105.0,1090.85,1102.6833333333334,1139.3666666666668,1071.7666666666669,1170.2833333333333,1035.0833333333335,False
2023-03-21,HCLTECH.NS,1102.4,1077.1,1099.0,1083.9,1102.6833333333334,1139.3666666666668,1071.7666666666669,1170.2833333333333,1035.0833333333335,False
