Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Week,Week_low,Week_high,Week_close,PP,R1,S1,R2,S2,R3,S3,Candle_Color,Previous_close,Next_close_1,Next_close_2,Next_close_3,Next_close_4,Candle_Size,Breakout_R1,20day_avg_movement,25day_avg_movement,30day_avg_movement,35day_avg_movement,40day_avg_movement,20day_%_movement,25day_%_movement,30day_%_movement,35day_%_movement,40day_%_movement
2023-05-17,24400.0,24848.95,24350.0,24419.0,24322.3,28274.0,SHREECEM.NS,2023-05-15,23727.6,25050.0,24408.65,24584.93333333333,25100.91666666666,24234.86666666666,25450.98333333333,23718.88333333333,25966.96666666666,74970.91666666666,Red,24398.35,23984.3,24408.65,24468.65,24765.8,19.0,False,25467.275,25341.126,25136.781666666666,24983.98285714286,24875.6625,2.83243424399778,2.3230664868488033,1.4979595517474364,0.8809844912858038,0.44360569818055245
2023-05-18,24510.0,24669.95,23900.0,23984.3,23889.32,17375.0,SHREECEM.NS,2023-05-15,23727.6,25050.0,24408.65,24584.93333333333,25100.91666666666,24234.86666666666,25450.98333333333,23718.88333333333,25966.96666666666,74970.91666666666,Green,24419.0,24408.65,24468.65,24765.8,23990.8,-525.7000000000007,False,25550.7725,25343.63,25144.373333333333,24988.615714285712,24861.11875,6.502377994898044,5.638953265418418,4.808398775086007,4.159159820788439,3.6277187505210424
2023-05-19,24075.55,24498.0,23727.6,24408.65,24311.99,29803.0,SHREECEM.NS,2023-05-15,23727.6,25050.0,24408.65,24584.93333333333,25100.91666666666,24234.86666666666,25450.98333333333,23718.88333333333,25966.96666666666,74970.91666666666,Red,23984.3,24468.65,24765.8,23990.8,24247.1,333.1000000000022,False,25621.234999999997,25329.203999999998,25132.248333333333,24991.26,24832.16,5.667213811136171,4.462818233933128,3.6505327784903536,3.0690680534991808,2.41290711054106
2023-05-22,24327.2,24916.25,24234.2,24468.65,24371.75,33885.0,SHREECEM.NS,2023-05-22,23705.75,25450.0,24977.0,24395.416666666668,25063.233333333337,23740.833333333336,25717.81666666667,23073.016666666666,26385.63333333334,75163.23333333334,Red,24408.65,24765.8,23990.8,24247.1,24977.0,141.45000000000073,False,25629.6475,25294.964,25100.258333333335,24966.715714285714,24788.66,2.6129939544380796,1.273027185010209,0.4934873416876928,-0.04117502387911255,-0.7540537294310772
2023-05-23,24410.0,25450.0,24410.0,24765.8,24667.73,64597.0,SHREECEM.NS,2023-05-22,23705.75,25450.0,24977.0,24395.416666666668,25063.233333333337,23740.833333333336,25717.81666666667,23073.016666666666,26385.63333333334,75163.23333333334,Red,24468.65,23990.8,24247.1,24977.0,25261.35,355.7999999999993,False,25551.6875,25247.787999999997,25056.725,24929.19857142857,24749.17125,1.149334853442122,-0.053686758625337595,-0.8100319262430551,-1.3148601661092114,-2.0275193131008407
2023-05-24,24650.0,24700.0,23705.75,23990.8,23895.8,76229.0,SHREECEM.NS,2023-05-22,23705.75,25450.0,24977.0,24395.416666666668,25063.233333333337,23740.833333333336,25717.81666666667,23073.016666666666,26385.63333333334,75163.23333333334,Green,24765.8,24247.1,24977.0,25261.35,25586.95,-659.2000000000007,False,25473.247499999998,25201.61,25012.54,24884.665714285715,24716.36,-0.44437691870270996,-1.5060020830931398,-2.2449334524044477,-2.7446971433261327,-3.402476653137635
2023-05-25,24031.8,24300.0,23840.0,24247.1,24151.08,37451.0,SHREECEM.NS,2023-05-22,23705.75,25450.0,24977.0,24395.416666666668,25063.233333333337,23740.833333333336,25717.81666666667,23073.016666666666,26385.63333333334,75163.23333333334,Red,23990.8,24977.0,25261.35,25586.95,25165.2,215.29999999999927,False,25417.6575,25163.744,24978.798333333332,24834.49,24683.96875,1.0032008487911894,-0.0057857676473938215,-0.7407120414964652,-1.3141560567768151,-1.9122885969513483
2023-05-26,24250.0,25086.7,24178.0,24977.0,24878.09,48742.0,SHREECEM.NS,2023-05-22,23705.75,25450.0,24977.0,24395.416666666668,25063.233333333337,23740.833333333336,25717.81666666667,23073.016666666666,26385.63333333334,75163.23333333334,Red,24247.1,25261.35,25586.95,25165.2,25167.3,727.0,False,25353.614999999998,25112.386000000002,24951.210000000003,24775.10285714286,24655.9875,0.7403058730972282,-0.2181958334823244,-0.8586141540808768,-1.5583600261336648,-2.0316541702924034
2023-05-29,25050.0,25469.5,24992.4,25261.35,25161.31,32876.0,SHREECEM.NS,2023-05-29,24969.95,25885.0,25038.4,24710.916666666668,25716.083333333336,23971.833333333336,26455.166666666668,22966.666666666668,27460.333333333336,76616.08333333334,Red,24977.0,25586.95,25165.2,25167.3,25038.4,211.34999999999854,False,25307.745000000003,25071.542,24920.528333333332,24723.634285714288,24632.7375,1.0757276822800226,0.13236468783947786,-0.47076357381729517,-1.257131902540551,-1.6201614320403945
2023-05-30,25200.0,25885.0,25116.05,25586.95,25485.62,54929.0,SHREECEM.NS,2023-05-29,24969.95,25885.0,25038.4,24710.916666666668,25716.083333333336,23971.833333333336,26455.166666666668,22966.666666666668,27460.333333333336,76616.08333333334,Red,25261.35,25165.2,25167.3,25038.4,24820.05,386.9500000000007,False,25270.84,25036.953999999998,24891.46833333333,24691.112857142856,24614.7875,1.816233246911271,0.8739063781096277,0.28774451837659976,-0.5194878449364245,-0.827002765909016
